#Frame     GSA[EELEC]    GSA[EVDW]
     774     185.8423     -32.5220
     775     146.1038     -30.1846
     776     103.6269     -27.1978
     777     151.3195     -32.3177
     778     152.1400     -25.4168
     779     118.7520     -34.0070
     780     144.7810     -28.8419
     781     127.6799     -31.2881
     782      37.1619     -29.4597
     783      96.1108     -25.2481
     784     127.4438     -31.6268
     785     185.0929     -28.1891
     786     141.0948     -27.0451
     787     113.4331     -26.7106
     788     125.4240     -28.2755
     789     118.6007     -28.6943
     790     119.8658     -28.4397
     791     110.6985     -23.9539
     792      68.2850     -24.4697
     793     124.0132     -23.6681
     794     105.3626     -24.0212
     795     156.8604     -26.4113
     796     169.6670     -20.8291
     797     158.7272     -13.4963
     798     150.0192     -15.6900
     799      99.6847     -15.5922
     800     111.7455     -12.0827
     801      96.0094     -17.6263
     802      57.7224     -15.4346
     803      65.3061     -18.2063
     804     112.8752     -16.0112
     805     120.0426     -14.2061
     806     142.8675     -15.5863
     807     143.4313     -19.6335
     808     147.1790     -23.9485
     809     114.3785     -24.6172
     810     106.5807     -23.2682
     811      95.7399     -23.5212
     812      51.6442     -20.3620
     813      57.1509     -19.0904
     814      37.2819     -13.3843
     815      43.9068     -16.0184
     816      41.4420     -12.5794
     817      29.5109     -21.9358
     818      85.9563     -28.7125
     819      44.2055     -25.0555
     820      56.1005     -33.4066
     821      30.9189     -22.6851
     822      33.9713     -25.3165
     823      33.9637     -33.3374
     824      23.5178     -18.6162
     825      98.5899     -32.0842
     826      78.4215     -30.2234
     827      79.5160     -30.4729
     828      66.6334     -26.0327
     829      53.2220     -19.6827
     830     100.5665     -25.5482
     831     109.5574     -22.7711
     832     106.6510     -22.4241
     833      92.1098     -24.8894
     834      87.6528     -26.4456
     835      58.1123     -30.6496
     836      45.6567     -31.8396
     837      11.7857     -32.8600
     838      70.4448     -29.7382
     839      53.1597     -33.3234
     840      54.4152     -36.7879
     841      31.2326     -35.3704
     842      29.4940     -33.5883
     843      -1.8281     -29.3913
     844      20.5591     -32.8565
     845      26.1836     -32.2897
     846      28.6966     -35.4743
     847      54.3955     -38.9711
